CODIGO,CIDADE,ESTADO,PAIS
245,1700400,,BRASIL
246,4112009,,BRASIL
247,4101705,,BRASIL
248,4103909,,BRASIL
249,5217302,,BRASIL
250,NI,PARANA,BRASIL
251,4115200,,BRASIL
252,4105508,,BRASIL
254,5205307,,BRASIL
255,4125506,,BRASIL
256,4107504,,BRASIL
257,4106555,,BRASIL
258,4115200,,BRASIL
259,4109401,,BRASIL
260,4107702,,BRASIL
261,4116109,,BRASIL
262,4104303,,BRASIL
263,5208707,,BRASIL
264,4118808,,BRASIL
265,4104303,,BRASIL
266,4114005,,BRASIL
267,5002001,,BRASIL
268,4118808,,BRASIL
269,5004601,,BRASIL
270,4111803,,BRASIL
271,3530102,,BRASIL
272,4202453,,BRASIL
273,5205307,,BRASIL
274,5221080,,BRASIL
275,4301305,,BRASIL
276,5205521,,BRASIL
277,4127106,,BRASIL
278,4104303,,BRASIL
279,3504107,,BRASIL
280,5205307,,BRASIL
281,5208400,,BRASIL
282,4122503,,BRASIL
481,4118808,,BRASIL
284,4127601,,BRASIL
285,4119905,,BRASIL
286,1507755,,BRASIL
287,4106555,,BRASIL
288,NI,PARANA,BRASIL
289,NI,PARANA,BRASIL
290,4113734,,BRASIL
291,3107109,,BRASIL
292,4117271,,BRASIL
293,4110078,,BRASIL
294,4106555,,BRASIL
295,4106555,,BRASIL
296,4120804,,BRASIL
297,4107553,,BRASIL
298,4118808,,BRASIL
299,5221080,,BRASIL
300,5214606,,BRASIL
301,5221080,,BRASIL
302,4107504,,BRASIL
303,4104303,,BRASIL
304,5300108,,BRASIL
305,NI,MINAS GERAIS,BRASIL
306,4103107,,BRASIL
307,3170206,,BRASIL
308,5205307,,BRASIL
309,5205307,,BRASIL
310,4208906,,BRASIL
311,4111803,,BRASIL
312,5205307,,BRASIL
313,4118808,,BRASIL
314,4104303,,BRASIL
315,4103008,,BRASIL
316,4208906,,BRASIL
317,4106605,,BRASIL
318,4108601,,BRASIL
319,4109500,,BRASIL
321,5001102,,BRASIL
322,4112900,,BRASIL
323,4117701,,BRASIL
324,4119905,,BRASIL
325,3126604,,BRASIL
326,4106902,,BRASIL
327,4119509,,BRASIL
328,4101200,,BRASIL
329,3118106,,BRASIL
330,4102307,,BRASIL
331,4117701,,BRASIL
332,4104428,,BRASIL
333,4101200,,BRASIL
334,4108304,,BRASIL
335,4127502,,BRASIL
336,4116208,,BRASIL
337,4102307,,BRASIL
338,4218905,,BRASIL
339,4100202,,BRASIL
340,4119954,,BRASIL
341,4106902,,BRASIL
342,3136405,,BRASIL
343,4103107,,BRASIL
344,4127502,,BRASIL
345,3201605,,BRASIL
346,4113205,,BRASIL
